workers,time_ms,speedup,parallel_efficiency
1,11.501521,1.0,1.0
2,8.864463,1.2974864918495344,0.6487432459247672
3,9.274722,1.2400933418812985,0.41336444729376615
4,4.03607,2.849683231460307,0.7124208078650768
5,5.657232,2.033065110287151,0.4066130220574302
